Time,Variable,Value
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.073108912035025,-89.40120169592898"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),5.487667593
2:37:30 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Sport
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,24.2259567
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.07311368854869,-89.4012079261033"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),4.517100025
2:37:30 PM,Vehicle State 5 (2WD/4WD),4WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Eco
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,24.86919505
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.07310551605815,-89.40121245213732"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),2.895762568
2:37:30 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Sport
2:37:30 PM,Accessory A Type,Front Light Bar
2:37:30 PM,Accessory A State,0
2:37:30 PM,Accessory A Power Draw,0
2:37:30 PM,Accessory B Type,Rear Chase Light
2:37:30 PM,Accessory B State,2
2:37:30 PM,Accessory B Power Draw,22.51763133
2:37:30 PM,Vehicle VIN,1HGBH41JXMN109186
2:37:30 PM,GPS Location,"43.073147248750985,-89.40116670303472"
2:37:30 PM,Vehicle State 1 (Drive Position),Drive
2:37:30 PM,Vehicle State 2 (Error Code),None
2:37:30 PM,Vehicle State 3 (Key State/Position),RUN
2:37:30 PM,Vehicle State 4 (Speed),21.19331864
2:37:30 PM,Vehicle State 5 (2WD/4WD),2WD
2:37:30 PM,Vehicle State 6 (Drive Mode),Sport
